P00001606T0076|14 50|alkaline phosphatases and 5-nucleotidase
P09079650A0136|61 64|ERKs
P09079817A0928|77 88|NO synthetase
P09079902A0713|47 60|pyruvate kinase
P09079915T0000|94 108|sigma70 promoter
P09079928A0525|0 11|M. leprae OxyR
P09079928A1319|17 20|OxyR
P09079928A1319|139 153|LysR superfamily
P09079928A1319|31 36|P1oxyR
P09080250A0212|51 62|p15E cDNA gene
P09083291A1378|5 13|TGF-beta1
P09083291A1378|111 122|cyclin E-cdk 2
P09083291A1378|68 82|G1 phase cyclin D1
P09083291A1378|194 196|pRb
P09084174A0667|105 144|aspartate-beta-semialdehyde dehydrogenase
P09084174A0667|62 91|3-isopropylmalate dehydrogenase
P09084174A0667|154 157|orfA
P09084174A0667|192 202|Asd proteins
P09085842A0181|142 148|SF2/ASF
P09085842A0181|126 138|U1-70K protein
P09085842A0181|112 120|SR domains
P09085842A0181|36 42|U1 snRNP
P09086268A0611|74 86|RNA polymerase
P09088371T0000|35 49|antithrombin III
P09089093A0373|27 38|human CA genes
P09089653A0615|102 111|luciferase
P09090054A0186|70 97|permease and alpha-glucosidase
P09090054A0186|127 152|extra alpha-glucosidase gene
P09091403T0001|65 78|human mts1 genes
P09092493A0861|42 45|AP-1
P09092580A1354|38 46|MAP kinase
P09092636A0802|104 125|DYZ3 satellite sequences
P09092636A0802|42 54|rad54-3 allele
P09092675A0283|33 40|P22 R17 [A
P09094315A0541|41 45|B-Myb
P09094671A1192|30 33|Mts1
P09094671A1192|47 50|Mts2
P09096229T0000|44 74|Saccharomyces cerevisiae MFA2 gene
P09096234T0000|107 128|phage lambda cI repressor
P09098066A0119|90 93|HMW3
P09099683A0000|0 19|Diacylglycerol kinase
P09099683A0000|21 23|DGK
P09099702A0000|99 102|GCNF
P09099702A0000|56 97|nuclear orphan receptor germ cell nuclear factor
P09099702A0692|107 125|mouse protamine 2 gene
P09099745A1446|233 235|CDK
P09099745A1446|96 98|p21
P09099745A1446|201 212|cyclin E-Cdk2
P09099745A1446|305 308|Cdk2
P09101085A0686|67 80|p27Kip1 protein
P09105042A1497|286 292|beta MHC
P09105042A1497|145 173|mutant myosin heavy chain protein
P09106057A0000|100 104|EM523
P09108029A0399|86 97|redox factor 1
P09108029A0399|34 50|activator protein 1
P09108029A0399|52 55|AP-1
P09108029A0399|141 154|AP endonuclease
P09108029A0399|99 103|Ref-1
P09108038A1128|40 46|Acan125
P09108038A1128|8 16|LRR domain
P09111048X0000|46 86|NH2-terminal truncated nitric-oxide synthase
P09111048X0000|124 151|neuronal nitric-oxide synthase
P09111309A0674|134 143|deltaRaf-1
P09111309A0674|24 54|p44 mitogen-activated protein (MAP
P09111309A0674|98 111|HB-EGF promoter
P09111309A0674|16 20|Ets-2
P09111314A0970|0 7|Cyclin D1
P09111314A1243|211 222|cyclin D1-cdk
P09111314A1243|157 171|p15INK4B protein
P09111314A1243|54 61|TGF-beta
P09111331A0119|27 39|MADS box family
P09111331A0119|3 13|Rlm1 protein
P09111331A0119|84 87|Mpk1
P09111340A0240|183 202|human beta-globin gene
P09111340A0240|38 46|c-myc mRNA
P09111340A0240|210 250|bacterial chloramphenicol acetyltransferase
P09111340A0240|252 254|CAT
P09111367A1098|469 470|M3
P09111367A1098|311 321|tal-1 mutant
P09111367A1098|288 292|c-myc
P09111367A1098|435 467|N-terminally truncated tal-1 variant
P09115242A0934|111 120|C/EBP-beta
P09115265A1160|78 111|erythroid transcription factor GATA-1
P09115279A0345|95 104|Pch1 kinase
P09115279A0345|56 59|Cdc2
P09115365A0000|15 41|human heat shock protein 70 gene
P09115395A0478|328 331|BRG1
P09115395A0478|338 351|RNA helicase WM6
P09115395A0478|394 397|BRG1
P09115395A0478|474 478|Xbr1b
P09115395A0478|447 450|Sox3
P09115395A0478|441 445|HoxD1
P09115395A0478|148 151|BRG1
P09115395A0478|452 456|Vent2
P09117345A0945|12 22|alpha 4 beta 1
P09118196A0281|67 72|NART-R
P09118664A1734|46 64|nitric oxide synthase
P09118704A0771|59 63|G-CSF
P09119031A1036|198 217|wild-type sigma factor
P09119031A1036|92 123|core RNA polymerase (alpha2beta beta
P09119391A0870|108 117|human GPT-1
P09121424A0296|32 42|Swi3 homolog
P09121424A0296|44 47|Swh3
P09121430A0132|0 46|Shc stimulates Ras/mitogen-activated protein kinase
P09121430A0132|79 82|Grb2
P09121430A0132|48 51|MAPK
P09121430A1075|30 37|Y317F Shc
P09121430A1075|11 22|Y239/240F Shc
P09121432A0000|3 37|Ras guanine nucleotide-binding protein
P09121433A0463|118 121|SMP1
P09121433A0463|62 65|Rlm1
P09121433A0463|10 13|Rlm1
P09121433A0463|17 20|Smp1
P09121433A0463|95 98|MEF2
P09121452A0538|33 49|C/EBP beta proteins
P09121454A1328|59 63|Bur6p
P09121454A1328|34 37|mot1
P09121454A1328|67 71|Mot1p
P09121476T0000|38 58|DEAD-box protein family
P09121774A0611|88 102|MAP kinase family
P09121774T0000|11 24|small GTPase Rac
P09122168A1427|111 114|GRK3
P09122168A1427|104 107|GRK2
P09122168A1427|47 56|G betagamma
P09122176A0970|48 55|hMGP gene
P09128730A0000|159 171|biotin protein
P09129147A0644|81 87|Fos/Jun
P09129147A0644|91 106|ATF/CREB proteins
P09130700A0676|43 48|Spc98p
P09130700A0676|37 41|Tub4p
P09130700A0676|143 146|TUB4
P09130718A0497|44 47|sid1
P09131139T0000|35 40|PAF-AH
P09131139T0000|13 33|PAF and acetylhydrolase
P09132057A0559|88 116|several receptor protein kinases
P09132061A0828|128 131|ESTs
P09132061A0828|3 6|atp 1
P09135066A0653|36 39|Mek1
P09135149A0000|104 107|Wee1
P09135149A0000|153 176|Pyp3 tyrosine phosphatases
P09135149A0000|145 149|Cdc25
P09135149A0000|111 129|Mik1 tyrosine kinases
P09135149A0000|59 90|Cdc2/Cdc13 cyclin-dependent kinase
P09135928A0912|78 90|angiotensin II
P09136080A1469|78 84|Sp1 site
P09138492A0806|23 32|tuberculin
P09139665A0784|53 62|Gbetagamma
P09139694A0789|163 171|CTF1alpha
P09139721A0183|0 7|Cyclin G2
P09139737A0000|68 106|sterol regulatory element-binding proteins
P09139737A0000|108 113|SREBPs
P09139892A1150|124 135|crp promoters
P09143328A1002|81 93|RNA polymerase
P09144165A0614|162 189|Rel transcription factor family
P09144165A0614|51 54|AP-1
P09144165A1275|91 120|AP-1 family transcription factors
P09144165A1275|21 27|NFAT RIR
P09144195A1051|100 105|PS1 CTF
P09144195A1051|21 32|PS1 fragments
P09144958A0047|82 95|a/b protein gene
P09147420A0623|68 75|HIV-1 LTR
P09147420T0000|64 73|Tat protein
P09148903A1715|153 164|IkappaBalpha
P09148903A1715|49 56|HIV-1 LTR
P09148903A1715|107 134|NF-kappaB transcription factor
P09148935A0805|158 160|FAK
P09148935A0805|127 155|c-Src binding site Phe-397 mutant
P09148935A0805|13 20|c-Src PTK
P09148935A0805|96 99|ERK2
P09148935A0805|50 52|FAK
P09150595T0000|43 70|Erwinia carotovora hrpNEcc gene
P09150728A0596|26 29|HES1
P09151152A0174|130 138|factor VII
P09151152A0174|204 219|serum lipoprotein
P09153010A0499|201 204|MUPs
P09153319A1332|79 102|collagen promoter sequence
P09154795A0628|79 100|human DNA polymerase beta
P09154797A0777|36 46|lacZ mutants
P09154819A0501|25 29|c-Jun
P09154822T0000|15 25|Raf-1 kinase
P09155015A0140|97 99|ANF
P09155015A0140|73 95|atrial natriuretic factor
P09155015A0140|17 34|protein kinase MEKK1
P09155024A0955|16 19|EFG1
P09156883A0294|55 57|ABP
P09159183A0119|8 31|ocs element binding factors
P09162084A0956|36 48|Src-SH2 domain
P09162092A0675|87 91|MEKK3
P09162092A0675|79 82|MKK3
P09162092A0675|103 107|MEKK2
P09162092A0675|38 40|p38
P09162097A0776|163 172|L-selectin
P09162097A0776|22 36|MAdCAM-1 variant
P09162097A1258|103 115|mouse MAdCAM-1
P09162097A1258|51 67|human MAdCAM-1 cDNA
P09164856A0980|82 96|glutaminase gene
P09165035A0842|0 23|Serum alkaline phosphatase
P09165039A0728|3 15|monkey LHR cDNA
P09165039A0728|66 82|mammalian LHR cDNAs
P09165039A1372|78 84|LHR gene
P09168134A0858|77 88|U1 snRNA genes
P09168134A0858|66 73|Sm-E gene
P09168892A1016|34 57|AP-1 cis-response elements
P09169127A0371|155 160|y1 gene
P09169127A0371|25 50|neuropeptide Y receptor genes
P09169127A0371|207 212|y5 gene
P09169127A0371|297 302|y1 gene
P09169420A0000|149 151|PIK
P09169420A0000|38 42|PI3Ks
P09169420A0000|87 98|Src homology 2
P09169420A0000|3 36|mammalian phosphoinositide 3-kinases
P09169475A0272|50 63|human gp130 gene
P09169593T0000|61 90|mitogen-activated protein kinase
P09169593T0000|56 58|MEK
P09169593T0000|94 105|casein kinase
P09169593T0000|19 54|mitogen-activated protein kinase kinase
P09169852A0235|20 31|pag-3 alleles
P09169853A0000|0 4|Pax-3
P09171081T0000|42 72|bacteriophage-type RNA polymerase
P09171235A0851|51 58|COUP-TFI
P09171235A0851|66 80|COUP-TFI delta35
P09171239A1118|71 93|nuclear hormone receptors
P09171239A1118|163 166|AF-2
P09171239A2146|68 72|SRC-1
P09171239A2146|78 80|RXR
P09174049A1788|14 35|p34CDC2 histone H1 kinase
P09178752A0574|0 2|EGF
P09180687A0096|24 27|SulA
P09180687A0096|126 129|SulA
P09182527A0443|87 92|Nedd-4
P09182707A0254|48 66|focal adhesion kinase
P09182707A0254|73 75|FAK
P09182990A0245|128 136|SUP45 gene
P09187136A0000|31 49|major protein kinase C
P09187637A1199|59 61|OP4
P09187637A1199|53 55|OP1
P09188094A0934|51 54|Spc1
P09188863A0954|21 26|CDC25B
P09189783A0000|157 163|insulin
P09189896A0611|22 24|ERP
P09190202A0166|86 105|Sec13p protein complex
P09190202A0166|25 29|Sar1p
P09190202A0166|4 14|coat protein
P09190202A0166|34 53|Sec23p protein complex
P09190202A0166|64 69|Sec23p
P09190202A0166|73 78|Sec24p
P09190202A0166|116 121|Sec13p
P09191052A0850|8 10|PCE
P09191052A0850|49 65|Class I Hox proteins
P09192769T0000|43 48|CHEMR1
P09192769T0000|94 118|human C-C chemokine receptor
P09192769T0000|120 124|CCR-4
P09192786T0000|17 27|human LU gene
P09192842A0988|49 56|PE-2 gene
P09192842A0988|192 200|ETS factor
P09192998A0356|131 136|rrnB T1
P09192998A0356|163 165|PTH
P09192998A0356|77 82|rrnB T2
P09193077A0000|21 24|LRU1
P09193077A0000|92 107|chalcone synthase
P09195923A0125|3 14|immunophilin
P09197408A0126|15 22|facB gene
P09199167A0942|48 52|Vti1p
P09199286A0086|17 20|mkh1
P09199292A0536|72 83|cyclin A-cdk2
P09199292A0536|58 69|cyclin E-cdk2
P09199292A0536|44 47|p130
P09199318A1147|12 30|p150 suppresses actin
P09199322T0000|59 83|human replication protein A.
P09199328T0000|58 62|Oct-1
P09199328T0000|64 66|HCF
P09199328T0000|42 45|VP16
P09199348A0156|89 118|Saccharomyces cerevisiae U14 RNAs
P09199353A1924|99 113|polymerase alpha
P09199353A1924|29 33|Cdc68
P09199932A1357|108 120|E14/NPAT genes
P09199970A1101|48 83|cytoplasmic domains had factor I cofactor
P09201946A0000|47 94|Escherichia coli transcription termination factor rho
P09201946A0000|17 31|RNA-DNA helicase
P09201980A0910|3 15|p20-CGGBP gene
P09202147A0866|57 59|UBC
P09202669A0614|83 127|herpes virus thymidine kinase promoter-driven gene
P09202669A1530|53 74|rat preproinsulin II gene
P09202859A0091|16 46|beta-human chorionic gonadotropin
P09202859A0091|64 82|alkaline phosphatase
P09203585A0660|21 40|recombinant H19 allele
P09203586A1197|30 42|large T antigen
P09203586A1197|62 64|SL1
P09204566T0000|50 62|fixNOQP operon
P09204570A0110|22 32|MADS box gene
P09205113A0587|67 74|HPRT gene
P09208930T0000|48 84|interleukin-1beta converting enzyme gene
P09209372A0345|125 129|AML1b
P09209372A0345|21 25|AML1a
P09209406A1021|110 118|c-cbl gene
P09209438A0994|129 139|-70 GATA site
P09209438A0994|53 58|GATA-4
P09210478A0000|50 54|HIF-1
P09211354A0000|0 12|Stromelysin-1
P09211354A0000|40 44|MMP-3
P09211913A0000|0 41|Aryl hydrocarbon receptor nuclear translocator
P09211913A0000|110 112|AhR
P09211913A0000|117 140|hypoxia-inducible factor 1
P09211913A0000|183 188|CYP1A1
P09211913A0000|86 108|aryl hydrocarbon receptor
P09211913A0000|192 205|erythropoietin
P09211934A0722|0 5|DNase I
P09211981A0526|59 62|suc1
P09211981A0526|183 193|cdc2(kinase
P09212059A1356|72 75|PR-A
P09212059A1856|249 250|PR
P09212063A0425|103 109|VDR gene
P09215891A0000|44 47|CIN2
P09215891A0000|51 59|CIN4 genes
P09216936T0000|53 58|leptin
P09218459A0000|0 18|Serum response factor
P09218459A0000|20 22|SRF
P09218520A0075|102 106|IL-1R
P09218599A0184|84 87|IL-4
P09218775A1229|20 29|cysB mutant
P09219526A0383|3 18|Man9-mannosidase
P09220158A0537|113 117|ORF-2
P09220177A0564|3 17|CPK-MB isoenzyme
P09222115A0545|31 69|endogenous corticotropin-releasing factor
P09223229A0565|18 31|human mb-1 genes
P09223229A0565|49 62|bovine mb-1 gene
P09223475A0898|0 31|Chloramphenicol acetyltransferase
P09223475A0898|59 62|IE86
P09223475A0898|198 208|IE86 protein
P09223475A0898|87 105|HCMV major IE promoter
P09223479A1193|155 163|BHRF1 gene
P09223479A1193|79 97|Bcl-2-like molecules
P09224655T0000|118 123|ClC-6c
P09224655T0000|21 25|ClC-6
P09224811A0000|67 94|cytochrome P450 oxidoreductase
P09224811A0000|96 100|P450R
P09224811A0000|246 254|P450R mRNA
P09225506A0462|50 69|coagulation factors II
P09225682A0579|22 37|anti-GM1 antibody
P09225998A0000|0 32|NF-kappa B/Rel transcription factors
P09227332A1798|10 28|DDC express receptors
P09227799A0254|138 154|soluble egg antigen
P09228092A1779|31 45|dUTPase isoforms
P09228202A0581|123 156|5-HT4 receptor agonist/5-HT3 receptor
P09230216T0000|0 26|Human thymine-DNA glycosylase
P09230307A0329|20 25|GATA-1
P09230894A0422|18 24|KmMig1p
P09232593A0946|48 56|DJ protein
P09233487A1386|119 127|Prom-EABR
P09233772A0136|437 462|E3 ubiquitin-protein ligases
P09233772A0136|190 193|RCC1
P09233772A0136|315 337|heterotrimeric G proteins
P09233772A0136|22 25|p532
P09233772A0136|233 258|small GTP-binding protein Ran
P09233772A0136|352 366|SH3 binding sites
P09233801A1180|57 64|TGF-beta
P09233801A1180|84 96|type I receptor
P09233809A0815|53 76|endogenous Hnf3g gene locus
P09233811A0072|84 114|M cell-controlling protein Mat1-Mc
P09233811A0072|54 77|Ste11 transcription factor
P09234703A0192|57 61|Cdc42
P09234703A0192|42 50|G proteins
P09234703A0192|0 2|JNK
P09234713A0754|171 177|Jdelta1
P09234713A0754|157 163|Ddelta3
P09234717A0000|33 35|Cbl
P09234717A0000|66 84|c-cbl proto-oncogene
P09234717A0000|167 169|SH3
P09234720A1015|148 150|MEK
P09234720A1015|38 40|MEK
P09234723A0846|59 61|PTB
P09234725A1892|111 114|AP-1
P09234743A0475|55 67|alpha-globin 3
P09235618A0000|164 166|IgG
P09235618A0000|170 172|IgM
P09235998A0788|30 49|alpha and beta subunits
P09235998A0788|114 129|HMG-CoA reductase
P09236118A1455|21 23|Lrp
P09236224A0939|85 87|NGF
P09236224A0939|21 23|p21
P09238860A0175|86 128|cyclic AMP response element binding proteins CREB
P09238860A0175|159 173|protein kinase A.
P09238860A1974|49 52|CREB
P09238860A1974|179 193|protein kinase C.
P09238860A1974|107 110|IL-2
P09239635A0477|80 87|serum IgA
P09239635A0477|21 28|serum IgG
P09241232A0653|57 62|AP site
P09241232A0653|3 13|Ogg1 protein
P09241232A1154|86 89|Ogg1
P09241232A1154|63 77|endonuclease III
P09242375A1313|203 207|MEN2A
P09242375A1313|211 215|MEN2B
P09242506A1033|0 2|E2F
P09242506A1033|38 53|E2F family members
P09242506A1033|62 71|DP proteins
P09242551A0653|0 8|EBER1 mRNA
P09242551A0653|117 121|EBER1
P09243505A1194|204 213|MADS domain
P09244350A0000|0 4|BRCA1
P09244430A0693|54 59|beta-3
P09247645A0000|36 39|SEC3
P09252397A0081|93 104|human JUN gene
P09252406A0511|120 138|phospholipase Cgamma
P09252406A0511|156 159|SHP2
P09252406A0511|49 52|Grb2
P09252406A0511|56 73|Shc adaptor proteins
P09254678A0106|101 103|MBP
P09254678A0106|75 80|myelin
P09254678A0106|270 276|PLP gene
P09254678A0106|82 99|myelin basic protein
P09254678A0106|194 196|MBP
P09254678A0106|200 207|PLP mRNAs
P09254678A0106|0 6|Gtx mRNA
P09254709T0000|15 61|Bacillus subtilis catabolite regulatory protein CcpA
P09255349A0836|60 63|IRA2
P09255349A0836|53 56|IRA1
P09255349A0836|20 43|GTPase activating proteins
P09257651T0000|97 101|Prp4p
P09257651T0000|105 109|Prp3p
P09257887A0457|0 4|G-CSF
P09258439A1001|56 61|SsEF-2
P09259052A0568|132 144|c-jun AP-1 site
P09259052A0568|182 185|JunB
P09259052A0568|177 180|JunD
P09259052A0568|160 168|Jun family
P09259052A0568|28 61|Fos family member-specific antibodies
P09259313A0950|13 20|PI kinase
P09259315A0809|10 13|Enh4
P09259320A0830|89 92|DSBP
P09259320A0830|82 85|SSBP
P09259328A0440|176 185|luciferase
P09261155A0833|15 16|PH
P09261155A0833|20 29|PTB domains
P09261155A0833|133 137|IRS-3
P09261155A0833|124 128|IRS-2
P09261155A0833|118 122|IRS-1
P09261155A0833|84 98|insulin receptor
P09261178T0000|3 47|mouse extracellular signal-regulated kinase 2 gene
P09261184A0170|120 123|NF-Y
P09261184A0170|65 69|FIRE1
P09261397A0509|0 23|Gag protein sequence motifs
P09261397A0509|29 36|NC domain
P09263010T0000|43 46|CD23
P09263010T0000|102 106|bcl-2
P09263010T0000|81 85|c-myc
P09263856A0563|42 53|EGF-1 modules
P09263856A0563|79 89|prothrombin
P09267306A0381|48 51|apo B
P09267431A0000|29 33|SPK-4
P09267431A0000|21 25|SPK-3
P09267439A0000|19 81|ras superfamily encode low-molecular-weight GTP/GDP-binding proteins
P09268298T0000|0 18|Ent-kaurene synthase
P09268387A0293|100 114|RNA polymerase II
P09268652A0116|16 32|zinc finger protein
P09268661A1405|37 56|reverse transcriptase
P09269900A1035|86 95|ATF3/c-Jun
P09269900A1035|32 42|EGF/Ras/Raf
P09271393A1333|38 50|Tax anchors CBP
P09271394A0558|0 5|DNase I
P09271394A0558|81 84|MURA
P09271394A0558|136 138|Mu1
P09271397A1596|116 122|Sp1 site
P09271397A1596|81 100|LDL receptor SREBP site
P09271400A0475|86 89|E2F2
P09271417A0585|16 23|ERR alpha
P09271417A1011|3 37|MCAD nuclear receptor response element 1
P09271417A1011|39 44|NRRE-1
P09271417A1011|66 73|ERR alpha
P09271496T0000|17 30|HIV-1 integrase
P09275159T0000|0 38|Heterogeneous nuclear ribonucleoprotein A1
P09275164A0000|101 117|RNA triphosphatase
P09275164A0000|24 37|eukaryotic mRNA
P09275164A0000|119 140|RNA guanylyltransferase
P09277629A0268|58 60|ERP
P09278441A1160|21 28|CARP mRNA
P09278441A1777|16 19|CARP
P09278441A1777|53 61|troponin C
P09278445T0000|25 29|RNase
P09278445T0000|40 60|yeast RNA polymerase III
P09278450A1338|90 99|NF1 protein
P09278454A1261|16 31|MMP-2 RE1 sequence
P09278494A0762|15 17|Sp1
P09278494A0762|21 31|ETS proteins
P09278494A0762|80 85|Surf-1
P09278758A1636|52 55|N1-3
P09279379A0310|120 133|H2B histone gene
P09280747A0195|169 171|ACE
P09282329A0527|43 65|Site II regulatory factors
P09282911A0277|62 76|RC3/neurogranin
P09285715A1257|37 39|Rev
P09285789A0712|17 47|guanine nucleotide exchange factor
P09285789A0712|109 110|PH
P09286115T0000|0 2|S2F
P09286115T0000|96 104|RPL21 gene
P09286981A0147|0 3|ArgR
P09287352A0930|148 152|SHP-1
P09287352A0930|184 186|MEK
P09287352A0930|23 26|STAT
P09287352A0930|98 127|mitogen-activated protein kinase
P09287362A0589|113 120|PTP-PEST
P09287362A0589|37 39|p50
P09288916T0000|21 82|human intestinal N-benzoyl-L-tyrosyl-p-aminobenzoic acid hydrolase
P09291098A0452|133 142|rat GGT gene
P09291098T0000|31 62|gamma-glutamyl transpeptidase gene
P09292499A0887|88 90|PTB
P09292499A0887|54 86|polypyrimidine tract binding protein
P09293006A1412|21 24|lipA
P09294139A0729|35 52|human HS12 enhancers
P09294161A1103|91 100|globin loci
P09294453A0949|3 12|ORF3 mutant
P09294453A0949|77 82|T beta L
P09294471A1198|22 24|CD4
P09297698A0933|130 140|enolase gene
P09297698A0933|65 70|UbCRBP
P09297698A0933|40 50|UbCRBP mRNAs
P09300697A0000|17 36|multisubunit protease
P09300697A0000|81 98|MHC class I molecules
P09300698A1219|46 49|MQ9b
P09303437A0875|217 223|CAT gene
P09303437A0875|26 28|Fp1
P09303437A0875|34 43|hCRBP1 gene
P09303437A0875|60 62|CAT
P09303635A0000|64 92|beta-glucocerebrosidase enzyme
P09305592A0000|65 75|bcr/abl gene
P09305631A0770|16 20|BAG-1
P09305755A0540|160 163|HNF5
P09305755A0540|191 193|AP1
P09305755A0540|90 92|NF1
P09305755A0540|155 158|HNF1
P09305755A0540|195 197|AP2
P09305755A0540|125 149|hepatocyte nuclear factors 1
P09305755A0540|95 116|CAAT-box binding protein
P09305755A0540|71 73|Sp1
P09305755A0540|75 88|nuclear factor 1
P09305870A0894|30 41|p55 PDZ domain
P09305870A0894|186 198|glycophorin C.
P09305944A0621|14 19|RanGAP
P09305944A0621|61 71|rna1p mutant
P09307065A0553|40 45|D10 TCR
P09307065A0553|53 85|Staphylococcus aureus enterotoxin C2
P09307065A0553|14 23|MHC class II
P09308738A1216|115 154|decrease in factor VIII/von Willebrand factor
P09309457A0680|102 104|FSH
P09309457A0680|44 46|LDL
P09309457A0680|35 37|HDL
P09309457A0680|39 42|HDL2
P09310836A1019|40 51|SV40 promoter
P09311568A0595|23 38|C1YVV NIa protease
P09311796A0218|69 73|IEP86
P09311796A0218|113 115|TBP
P09311796A0218|90 111|TATA-box binding protein
P09311810A0814|21 35|cyclin D3 protein
P09311810A0814|61 80|alpha0 deletion mutant
P09311835A0147|54 62|T antigens
P09311835A0147|77 87|SV40 mutants
P09312025A0373|123 132|wortmannin
P09312025A0373|80 120|phosphatidylinositol 3-kinase p85alpha-p110
P09312025A0373|171 178|p85alpha
P09312025A0373|58 64|PKC zeta
P09312025T0000|0 19|Protein phosphatase 2A
P09312025T0000|111 119|NF-kappaB
P09312025T0000|42 59|protein kinase C zeta
P09312028A0975|124 126|RXR
P09312028A0975|130 143|RAR AF-2 domains
P09312087A0000|134 140|PECAM-1
P09312087A0000|92 96|SHP-2
P09312087A0000|64 90|protein-tyrosine phosphatase
P09312087A0000|29 41|Src homology-2
P09314537A1600|21 25|EBP50
P09314537A1600|52 70|ezrin binding protein
P09314554A0149|209 232|PR/8/34 nucleoprotein gene
P09315631A1064|13 20|POR2 gene
P09315631A1064|91 99|POR2 genes
P09315631A1064|84 87|POR1
P09315632A1137|150 154|FGFR3
P09315632A1137|63 79|FGFR3 kinase domain
P09315633A0333|63 89|interferon regulatory factors
P09315651T0000|34 43|R-FABP gene
P09315651T0000|13 16|AP-2
P09315678A0278|60 83|rat nucleolar protein NAP57
P09317131A0000|84 90|CH genes
P09317131A1332|30 58|NF kappa B2 nucleoprotein complex
P09317131A1332|127 146|human IgE germline gene
P09321657A0439|69 81|cox3 promoters
P09321657A0439|126 137|cox3 promoter
P09321930A0567|70 78|WAF1/CIP1
P09321930A0567|61 65|BRCA1
P09321930A0567|45 47|p53
P09322872A0745|29 34|TK gene
P09323366A0000|3 20|malate synthase gene
P09323366A0000|22 25|MLS1
P09323366A0299|23 39|MLS1 control region
P09323366A0299|62 65|UAS1
P09324988X0000|20 22|p21
P09325273A1240|66 74|ubiquitin
P09325273A1240|23 27|UBP41
P09325273A1240|263 286|certain ribosomal proteins
P09325278A0458|161 164|mta1
P09325278A0458|110 122|human proteins
P09325284A0469|59 78|human progelatinase B.
P09326246A0567|111 120|luciferase
P09326317A0372|69 72|EXT1
P09326317A0372|76 84|EXT2 genes
P09328341A1449|77 99|TR alpha DNA binding mutant
P09328343A0181|148 157|bHLH family
P09328476A0068|82 83|U5
P09328476A0068|76 77|U1
P09328476A0068|79 80|U2
P09328476A0374|0 5|Hprp3p
P09328476A0374|44 85|Saccharomyces cerevisiae splicing factor Prp3p
P09328824A0000|44 57|v-erbA oncogene
P09328824A0000|204 224|retinoic acid receptors
P09328824A0000|199 200|TR
P09328824A0000|115 116|TR
P09328824A0000|85 113|chicken thyroid hormone receptor
P09331864A0230|21 22|E2
P09333018A0000|0 25|Interferon Regulatory Factor
P09333026A0397|88 96|PTK family
P09333026A0851|200 220|epidermal growth factor
P09334264A0540|13 26|calf thymus CstF
P09334330A0252|56 63|TGF-beta
P09334330A0252|141 151|Smad protein
P09334331A0910|36 64|Drosophila EGF receptor DER/Egfr
P09335298A0529|24 35|parCBA operon
P09335298A1227|29 40|ColE1 cer site
P09335298A2129|181 196|ParE toxin protein
P09335608T0000|75 114|Drosophila myosin heavy chain gene transcript
P09335619A0583|243 252|orf221 gene
P09335619A0583|174 194|atp9 mitochondrial gene
P09336455A0000|75 83|RNR3 genes
P09337861T0000|10 38|human phosphoinositide 3-kinase
P09338414A0430|74 77|ESAP
P09339900A0939|60 67|cyclin D2
P09339900A0939|117 120|PEA3
P09339900A0939|122 124|AP2
P09339900A0939|126 129|NF-Y
P09339900A0939|140 142|Sp1
P09339900A0939|131 135|c-Myc
P09339900A0939|197 204|cyclin D2
P09341139A0690|127 140|beta-arrestin 1
P09341139A0690|51 63|beta2AR mutant
P09341158A0167|99 103|beta1
P09341192T0000|65 78|tyrosine kinase
P09341193A0362|16 18|Sp1
P09341193A0362|20 22|Sp3
P09343210A1112|44 57|VCAM-1 promoter
P09343210A1112|208 225|VCAM-1 gene promoter
P09343210A1112|169 182|NF-kappaB sites
P09343210A1112|125 127|Tax
P09343210A1112|71 112|chloramphenicol acetyltransferase constructs
P09343210A1112|149 162|VCAM-1 promoter
P09343222A0415|71 82|human protein
P09343222A0415|3 34|AGM and NIH/Swiss mouse CCR5 proteins
P09343432A0209|3 5|Scm
P09343433A0000|46 60|RNA polymerase II
P09343433A0000|62 67|RNAP II
P09343433A0360|56 82|RNAP II-transcribed genes URA3
P09344650A0967|34 41|Casr-rs2
P09344650A0967|45 52|Casr-rs3
P09344650A0967|70 77|Casr-rs1
P09345037A0886|41 65|nuclear trans-factor GATA-1
P09346238T0000|0 12|F-box proteins
P09346238T0000|65 90|SCF ubiquitin-ligase complex
P09346621A1181|123 125|OSF
P09346925A0660|15 18|Grb2
P09346925A0660|126 129|Grb2
P09346925A0660|132 135|HPK1
P09346925A0660|64 67|HPK1
P09346925A0660|3 12|SH3 domains
P09346935A0459|150 164|RNA polymerase II
P09346935A0459|70 74|ZNF74
P09346935A0927|162 174|RNA polymerase
P09346935A0927|250 277|KRAB multifinger protein family
P09346938A1680|0 13|Ki-ras4BVal-12
P09346938A1680|127 140|cathepsin B mRNA
P09346938A1680|72 106|lysosomal cysteine protease cathepsin B
P09346953A0000|205 252|heparan sulfate D-glucosaminyl 3-O-sulfotransferase
P09348226A0852|67 71|c-cbl
P09348226A0852|14 16|EGF
P09348226A0852|24 30|insulin
P09349501A0196|98 106|MLL-LTG19
P09351242A0719|211 231|aba1 Arabidopsis mutant
P09351242A0719|11 21|AtP5CS1 mRNA
P09351823A0414|17 20|MAPK
P09352016A1110|6 12|AF G-CSF
P09352127A0953|44 48|CA III
P09352127A0953|27 40|serum myoglobin
P09353255A0159|0 4|Rip1p
